abbrev	abstractCompound	charge	creationDate	deltaG	deltaGErr	formula	id	mass	modificationDate	name	owner	pKa	pKb	public	scope	stringcode	structuralCues
h2o		0	1280902170	-56.687	0.5	H2O	cpd00001	18	1280902170	H2O	master	15.70:1	-1.80:1	1		OH2	H2O:1
atp		-3	1280902170	-673.85	3.04314	C10H13N5O13P3	cpd00002	504	1280902170	ATP	master	0.84:26|1.83:29|2.95:22|7.72:30|13.03:14	3.97:15|-3.48:6|-3.66:14|-9.18:9	1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHO(P(OHOHO))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:2|WNH2:1|WCH2W:1|mid_phos:2|prim_phos:1|Origin:1|HeteroAromatic:2
nad		-1	1280902170	-529.59	4.35693	C21H26N7O14P2	cpd00003	662	1280902170	NAD	master	1.80:17|2.56:18|11.56:25|12.32:6|13.12:35	3.94:41|-1.17:25|-3.48:37|-3.66:35|-3.98:6|-9.18:43	1		CH2(CH(CH(OHCH(OHCH(N(CH(N(C(C(N(CH(N(C(NH2){17})))){21})<17>)))<21>O{3}))))<3>O(P(OHOO(P(OHOO(CH2(CH(CH(OHCH(OHCH(N[+1](CH(CH(CH(C(C(ONH2)CH{25})))))<25>O{4}))))<4>)))))))	RWCHWW:8|RWOW:2|PrimOH:4|WCH2W:2|WRdNWRW:1|WPO4nW:1|mid_phos:1|RWCHdblW:6|RWCdblWW:2|WketoneW:1|RWWNW:1|RWdblNW:3|TWWCdblW:2|WNH2:2|amide:1|Origin:1|OCCC:1|HeteroAromatic:3
nadh		-2	1280902170	-524.32	4.26795	C21H27N7O14P2	cpd00004	663	1280902170	NADH	master	1.80:22|2.56:26|12.69:36|13.31:14|14.30:18	3.94:15|-3.48:9|-3.51:18|-3.60:36|-3.66:14|-9.18:6	1		CH2(CH(CH(OHCH(OHCH(N(CH(N(C(C(N(CH(N(C(NH2){17})))){21})<17>)))<21>O{4}))))<4>O(P(OHOO(P(OHOO(CH2(CH(CH(OHCH(OHCH(N(CH(CH(CH2(C(C(ONH2)CH{22})))))<22>O{5}))))<5>)))))))	RWWNW:2|TWWCdblW:2|RWCHWW:8|RWCHdblW:5|RWdblNW:3|RWOW:2|RWCdblWW:2|PrimOH:4|WNH2:2|WCH2W:2|WPO4nW:1|mid_phos:1|RWCH2W:1|WketoneW:1|amide:1|Origin:1|OCCC:1|HeteroAromatic:2
nadph		-3	1280902170	-736.82	4.25788	C21H27N7O17P3	cpd00005	742	1280902170	NADPH	master	1.45:26|2.00:18|2.61:30|6.71:19|13.16:40	3.94:22|-3.48:12|-3.60:40|-9.18:11	1		CH2(CH(CH(OHCH(O(P(OHOHO))CH(N(CH(N(C(C(N(CH(N(C(NH2){17})))){21})<17>)))<21>O{4}))))<4>O(P(OHOO(P(OHOO(CH2(CH(CH(OHCH(OHCH(N(CH(CH(CH2(C(C(ONH2)CH{22})))))<22>O{5}))))<5>)))))))	RWCHWW:8|RWWNW:2|RWOW:2|TWWCdblW:2|RWCHdblW:5|prim_phos:1|RWdblNW:3|PrimOH:3|WCH2W:2|RWCdblWW:2|WPO4nW:1|WNH2:2|mid_phos:1|RWCH2W:1|WketoneW:1|amide:1|Origin:1|OCCC:1|HeteroAromatic:2
nadp		-2	1280902170	-742.09	4.34706	C21H26N7O17P3	cpd00006	741	1280902170	NADP	master	1.45:30|2.00:19|2.61:26|6.71:18|11.66:47	3.94:22|-1.17:47|-3.48:12|-9.18:11	1		CH2(CH(CH(OHCH(O(P(OHOHO))CH(N(CH(N(C(C(N(CH(N(C(NH2){17})))){21})<17>)))<21>O{3}))))<3>O(P(OHOO(P(OHOO(CH2(CH(CH(OHCH(OHCH(N[+1](CH(CH(CH(C(C(ONH2)CH{25})))))<25>O{4}))))<4>)))))))	RWCHWW:8|RWWNW:1|RWOW:2|TWWCdblW:2|RWCHdblW:6|prim_phos:1|RWdblNW:3|PrimOH:3|WCH2W:2|RWCdblWW:2|WPO4nW:1|WNH2:2|mid_phos:1|WRdNWRW:1|WketoneW:1|amide:1|Origin:1|OCCC:1|HeteroAromatic:3
o2		0	1280902170	3.9197	0.5	O2	cpd00007	32	1280902170	O2	master			1		(OO)	O2:1
adp		-2	1280902170	-465.85	3.03579	C10H13N5O10P2	cpd00008	425	1280902170	ADP	master	1.72:25|2.50:22|7.12:26|12.87:14|14.27:18	3.94:15|-3.48:9|-3.51:18|-3.66:14|-9.18:6	1		CH(CH(OHCH(OHCH(CH2(O(P(OHO(P(OHOHO))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|TWWCdblW:2|RWCHWW:4|RWCHdblW:2|RWdblNW:3|RWOW:1|RWCdblWW:1|PrimOH:2|WNH2:1|WCH2W:1|mid_phos:1|prim_phos:1|Origin:1|HeteroAromatic:2
pi		-2	1280902171	-261.974	0.5	HO4P	cpd00009	96	1280902171	Phosphate	master	1.80:3|6.95:2|12.90:4		1		P(OHOHOHO)	orthophosphate:1
coa		-3	1280902171	-751.994	3.45208	C21H33N7O16P3S	cpd00010	764	1280902171	CoA	master	1.46:23|2.01:26|2.62:30|6.72:22|10.07:48	3.94:17|-3.48:9|-9.18:8|-9.60:48	1		CH(CH(OHCH(O(P(OHOHO))CH(CH2(O(P(OHO(P(OHO(CH2(C(CH3CH3CH(OHC(ONH(CH2(CH2(C(ONH(CH2(CH2(SH))))))))))))O))O)))O{1})))N(CH(N(C(C(N(CH(N(C(NH2){7})))){10})<7>)))<10>)<1>	RWWNW:1|RWCHWW:4|TWWCdblW:2|RWCHdblW:2|RWOW:1|RWdblNW:3|PrimOH:2|RWCdblWW:1|WCH2W:6|prim_phos:1|WNH2:1|WPO4nW:1|mid_phos:1|WWCWW:1|WWCHW:1|WCH3:2|WketoneW:2|WSH:1|amide:2|WNHW:2|Origin:1|HeteroAromatic:2
