abbrev	abstractReaction	code	creationDate	definition	deltaG	deltaGErr	enzyme	equation	id	modificationDate	name	owner	public	reversibility	scope	status	structuralCues	thermoReversibility	transportedAtoms
		cpd11463 <=> cpd12036	1281967919	Protein <=> L-Arginyl-tRNA	10000000	10000000		cpd11463 <=> cpd12036	rxn05785	1281967919	rxn05785	master	1	<=>		MI:C12/N7/O1/R-1|CI:3|HI:-21	|WNH2:1|WWCHW:-1|WketoneW:-1|RW:-1|WCOOn:-1|amide:-1|WOCOW:1|WCH2W:4|WNH3:1|WdblCWW:1|WdblNH2:1|RWCHWW:4|PrimOH:1|RWOW:1|RWCHdblW:2|TWWCdblW:2|RWdblNW:3|RWWNW:1|RWCdblWW:1|HeteroAromatic:2	<=>	
rxn05784		cpd11463 <=> cpd12003	1281967919	Protein <=> L-Leucyl-tRNA	10000000	10000000		cpd11463 <=> cpd12003	rxn05784	1281967919	rxn05784	master	1	<=>		MI:C12/N4/O1/R-1|CI:2|HI:-19	|WketoneW:-1|RW:-1|WCOOn:-1|amide:-1|WNHW:-1|WOCOW:1|WCH2W:2|WNH3:1|WCH3:2|RWCHWW:4|PrimOH:1|RWOW:1|RWCHdblW:2|TWWCdblW:2|RWdblNW:3|RWWNW:1|RWCdblWW:1|HeteroAromatic:2	<=>	
rxn05783		cpd11463 <=> cpd11770	1281967919	Protein <=> L-Alanyl-tRNA	10000000	10000000		cpd11463 <=> cpd11770	rxn05783	1281967919	rxn05783	master	1	<=>		MI:C9/N4/O1/R-1|CI:2|HI:-13	|WWCHW:-1|WketoneW:-1|RW:-1|WCOOn:-1|amide:-1|WNHW:-1|WOCOW:1|WCH3:1|WNH3:1|RWCHWW:4|PrimOH:1|RWOW:1|WCH2W:1|RWCHdblW:2|TWWCdblW:2|RWdblNW:3|RWWNW:1|RWCdblWW:1|HeteroAromatic:2	<=>	
Phosphoprotein phosphohydrolase		cpd00001 + cpd11698 <=> cpd00009 + cpd11463	1281967919	H2O + Phosphoprotein <=> Phosphate + Protein	10000000	10000000	|3.1.3.16	cpd00001 + cpd11698 <=> cpd00009 + cpd11463	rxn05782	1281967919	Phosphoprotein phosphohydrolase	master	1	<=>		MI:O6/P1/C4/N2/R2|CI:-3|HI:-4		<=>	
ATP:protein phosphotransferase		cpd00002 + cpd11463 <=> cpd00008 + cpd11698	1281967919	ATP + Protein <=> ADP + Phosphoprotein	10000000	10000000	|2.7.1.13|2.7.11.1|2.7.11.8|2.7.11.9|2.7.11.10|2.7.11.11|2.7.11.12|2.7.11.13|2.7.11.17|2.7.11.21|2.7.11.22|2.7.11.24|2.7.11.25|2.7.11.30|2.7.12.1|2.7.12.2	cpd00002 + cpd11463 <=> cpd00008 + cpd11698	rxn05781	1281967919	ATP:protein phosphotransferase	master	1	<=>		MI:C-4/N-2/O-6/P-1/R-2|CI:2|HI:5		<=>	
Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)		cpd03177 + (2) cpd12713 <=> cpd00013	1281967919	2 H+ + Hydrazine + 2 e- <=> NH3	10000000	10000000	|1.18.6.1	(2) cpd00067 + cpd03177 + (2) cpd12713 <=> cpd00013	rxn05780	1281967919	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	master	1	<=>		MI:N-1|CI:-2|HI:3		<=>	
rxn05779		cpd00001 + cpd00006 + cpd03077 <=> cpd00005 + cpd00013 + cpd11625	1281967919	H2O + TPN + alpha-Amino acid <=> TPNH + NH3 + 2-Oxo acid	9.927	1.339	|1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.20	cpd00001 + cpd00006 + cpd03077 <=> cpd00005 + cpd00013 + cpd11625	rxn05779	1281967919	rxn05779	master	1	<=>		OK	|H2O:-1|RWWNW:1|RWCHdblW:-1|WNH2:-1|WRdNWRW:-1|WketoneW:1|HeteroAromatic:-1|WWCHW:-1|RWCH2W:1|NH4plus:1|OCCO:1	<=>	
rxn05778		cpd00001 + cpd00003 + cpd03077 <=> cpd00004 + cpd00013 + cpd11625	1281967919	H2O + NAD + alpha-Amino acid <=> NADH + NH3 + 2-Oxo acid	9.927	1.339	|1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.20	cpd00001 + cpd00003 + cpd03077 <=> cpd00004 + cpd00013 + cpd11625	rxn05778	1281967919	rxn05778	master	1	<=>		OK	|H2O:-1|WRdNWRW:-1|RWCHdblW:-1|WketoneW:1|RWWNW:1|WNH2:-1|HeteroAromatic:-1|WWCHW:-1|RWCH2W:1|NH4plus:1|OCCO:1	<=>	
ATP:ammonia phosphotransferase		cpd00002 + cpd00013 <=> cpd00008 + cpd12010	1281967919	ATP + NH3 <=> ADP + Phosphoramide	10000000	10000000	|2.7.3.8	cpd00002 + cpd00013 <=> cpd00008 + cpd12010	rxn05777	1281967919	ATP:ammonia phosphotransferase	master	1	<=>		MI:R2|CI:-1|HI:3	|Origin:1|NH4plus:-1|WNHW:1|RW:2	<=>	
rxn05776		cpd00001 <=> cpd00129	1281967919	H2O <=> L-Proline	-5.853	1.06821	|3.4.11.5	cpd00001 <=> cpd00129	rxn05776	1281967919	rxn05776	master	1	=>		MI:O1/C5/N1|CI:-1|HI:-6	|H2O:-1|RWCHWW:1|WCOOn:1|RWCH2W:3|RWNHW:1|Origin:1	=>	
NADPH:ferrileghemoglobin oxidoreductase		cpd00005 + (2) cpd12158 <=> cpd00006 + (2) cpd12160	1281967919	TPNH + H+ + 2 Ferrileghemoglobin <=> TPN + 2 Ferroleghemoglobin	10000000	10000000	|1.6.2.6	cpd00005 + cpd00067 + (2) cpd12158 <=> cpd00006 + (2) cpd12160	rxn05775	1281967919	NADPH:ferrileghemoglobin oxidoreductase	master	1	<=>		CI:2		<=>	
NADPH:ferricytochrome-c2 oxidoreductase		cpd00005 + (2) cpd11796 <=> cpd00006 + (2) cpd11798	1281967919	TPNH + H+ + 2 Ferricytochrome c2 <=> TPN + 2 Ferrocytochrome c2	10000000	10000000	|1.6.2.5	cpd00005 + cpd00067 + (2) cpd11796 <=> cpd00006 + (2) cpd11798	rxn05774	1281967919	NADPH:ferricytochrome-c2 oxidoreductase	master	1	<=>		CI:2		<=>	
NADH:ferrileghemoglobin oxidoreductase		cpd00004 + (2) cpd12158 <=> cpd00003 + (2) cpd12160	1281967919	NADH + H+ + 2 Ferrileghemoglobin <=> NAD + 2 Ferroleghemoglobin	10000000	10000000	|1.6.2.6	cpd00004 + cpd00067 + (2) cpd12158 <=> cpd00003 + (2) cpd12160	rxn05773	1281967919	NADH:ferrileghemoglobin oxidoreductase	master	1	<=>		CI:2		<=>	
NADH:ferricytochrome-b5 oxidoreductase		cpd00004 + (2) cpd11795 <=> cpd00003 + (2) cpd11797	1281967919	NADH + H+ + 2 Ferricytochrome b5 <=> NAD + 2 Ferrocytochrome b5	10000000	10000000	|1.6.2.2	cpd00004 + cpd00067 + (2) cpd11795 <=> cpd00003 + (2) cpd11797	rxn05772	1281967919	NADH:ferricytochrome-b5 oxidoreductase	master	1	<=>		CI:2		<=>	
Ferrocytochrome c2:oxygen oxidoreductase		cpd00007 + (4) cpd11798 <=> (2) cpd00001 + (4) cpd11796	1281967919	O2 + 4 Ferrocytochrome c2 <=> 2 H2O + 4 Ferricytochrome c2	10000000	10000000	|1.7.2.1	cpd00007 + (4) cpd11798 <=> (2) cpd00001 + (4) cpd11796	rxn05771	1281967919	Ferrocytochrome c2:oxygen oxidoreductase	master	1	<=>		OK		<=>	
[Phosphorylase a] phosphohydrolase		(4) cpd00001 + cpd12067 <=> (4) cpd00009 + (2) cpd12068	1281967919	4 H2O + Phosphorylase a <=> 4 Phosphate + 2 Phosphorylase b	10000000	10000000	|3.1.3.17	(4) cpd00001 + cpd12067 <=> (4) cpd00009 + (2) cpd12068	rxn05770	1281967919	[Phosphorylase a] phosphohydrolase	master	1	<=>		MI:O12/P4|CI:-8|HI:4		<=>	
ATP:phosphorylase-b phosphotransferase		(2) cpd00002 + cpd12068 <=> (2) cpd00008 + cpd12067	1281967919	2 ATP + Phosphorylase b <=> 2 ADP + Phosphorylase a	10000000	10000000	|2.7.11.19	(2) cpd00002 + cpd12068 <=> (2) cpd00008 + cpd12067	rxn05769	1281967919	ATP:phosphorylase-b phosphotransferase	master	1	<=>		MI:O-6/P-2|CI:2		<=>	
rxn05768		(2) cpd12781 <=> cpd00007 + (2) cpd12780	1281967919	2 5-Hydroxy-2-polyprenylphenol <=> O2 + 2 2-Polyprenylphenol	82.8797	0.886587		(2) cpd12781 <=> cpd00007 + (2) cpd12780	rxn05768	1281967919	rxn05768	master	1	<=		OK	|BWWCdblW:-2|BWCHdblW:2|PrimOH:-2|O2:1	<=	
Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)		(2) cpd12713 <=> cpd11640	1281967919	2 H+ + 2 e- <=> H2	10000000	10000000	|1.18.6.1	(2) cpd00067 + (2) cpd12713 <=> cpd11640	rxn05767	1281967919	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	master	1	<=>		CI:-2		<=>	
Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)		cpd00007 + (2) cpd00385 <=> (2) cpd00001 + (2) cpd12243	1281967919	O2 + 2 Sulochrin <=> 2 H2O + 2 (-)-Bisdechlorogeodin	10000000	10000000	|1.21.3.5	cpd00007 + (2) cpd00385 <=> (2) cpd00001 + (2) cpd12243	rxn05766	1281967919	Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)	master	1	<=>		MI:O-14/C-34|HI:28		<=>	
Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)		cpd00007 + (2) cpd00385 <=> (2) cpd00001 + (2) cpd12242	1281967919	O2 + 2 Sulochrin <=> 2 H2O + 2 (+)-Bisdechlorogeodin	10000000	10000000	|1.21.3.4	cpd00007 + (2) cpd00385 <=> (2) cpd00001 + (2) cpd12242	rxn05765	1281967919	Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)	master	1	<=>		MI:O-14/C-34|HI:28		<=>	
Thiol:oxygen oxidoreductase		cpd00007 + (4) cpd11884 <=> (2) cpd00001 + (2) cpd12074	1281967919	O2 + 4 R'C(R)SH <=> 2 H2O + 2 R'C(R)S-S(R)CR'	-102.938	3.67178	|1.8.3.2	cpd00007 + (4) cpd11884 <=> (2) cpd00001 + (2) cpd12074	rxn05764	1281967919	Thiol:oxygen oxidoreductase	master	1	=>		OK	|O2:-1|WSH:-4|Origin:-2|H2O:2|WSSW:2	=>	
Dinucleotide nucleotidohydrolase		cpd00001 + cpd11973 <=> (2) cpd01469	1281967919	H2O + Dinucleotide <=> 2 Mononucleotide	-9.313	0.746895	|3.6.1.9	cpd00001 + cpd11973 <=> (2) cpd01469	rxn05763	1281967919	Dinucleotide nucleotidohydrolase	master	1	=>		OK	|H2O:-1|WPO4nW:-1|mid_phos:-1|Origin:1|prim_phos:2	=>	
Chloride:hydrogen-peroxide oxidoreductase		cpd00025 + (2) cpd00099 + (2) cpd11855 <=> (2) cpd00001 + (2) cpd11847	1281967919	H2O2 + 2 HCl + 2 RH <=> 2 H2O + 2 RCl	10000000	10000000	|1.11.1.10	cpd00025 + (2) cpd00099 + (2) cpd11855 <=> (2) cpd00001 + (2) cpd11847	rxn05762	1281967919	Chloride:hydrogen-peroxide oxidoreductase	master	1	<=>		CI:2	|H2O2:-1|Cl:-2|HR:-2|H2O:2|RCl:2	<=>	
Long-chain-alcohol:oxygen oxidoreductase		cpd00007 + (2) cpd11650 <=> (2) cpd00001 + (2) cpd11709	1281967919	O2 + 2 Long-chain alcohol <=> 2 H2O + 2 Long-chain aldehyde	-91.8537	1.20496	|1.1.3.20	cpd00007 + (2) cpd11650 <=> (2) cpd00001 + (2) cpd11709	rxn05761	1281967919	Long-chain-alcohol:oxygen oxidoreductase	master	1	=>		MI:C4|HI:-8	|O2:-1|WCH2W:2|PrimOH:-2|H2O:2|WCHdblO:2	=>	
L-Glutamate:ferredoxin oxidoreductase (transaminating)		(2) cpd00023 + cpd11621 <=> cpd00024 + cpd00053 + cpd11620	1281967919	2 GLU + Oxidizedferredoxin <=> 2-Oxoglutarate + L-Glutamine + 2 H+ + Reducedferredoxin	10000000	10000000	|1.4.7.1	(2) cpd00023 + cpd11621 <=> cpd00024 + cpd00053 + (2) cpd00067 + cpd11620	rxn05760	1281967919	L-Glutamate:ferredoxin oxidoreductase (transaminating)	master	1	<=>		OK		<=>	
Reduced ferredoxin:H+ oxidoreductase		(2) cpd11620 <=> (2) cpd11621 + cpd11640	1281967919	2 H+ + 2 Reducedferredoxin <=> 2 Oxidizedferredoxin + H2	10000000	10000000	|1.12.7.2	(2) cpd00067 + (2) cpd11620 <=> (2) cpd11621 + cpd11640	rxn05759	1281967919	Reduced ferredoxin:H+ oxidoreductase	master	1	<=>		CI:2		<=>	
Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)		(16) cpd00001 + (16) cpd00002 <=> (16) cpd00008 + (16) cpd00009 + (8) cpd12713	1281967919	16 H2O + 16 ATP <=> 16 ADP + 16 Phosphate + 8 H+ + 8 e-	10000000	10000000	|1.18.6.1	(16) cpd00001 + (16) cpd00002 <=> (16) cpd00008 + (16) cpd00009 + (8) cpd00067 + (8) cpd12713	rxn05758	1281967919	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	master	1	<=>		OK		<=>	
Polyphosphate polyphosphohydrolase		cpd00001 + cpd11772 <=> cpd12039	1281967919	H2O + Polyphosphate <=> Oligophosphate	10000000	10000000	|3.6.1.10	cpd00001 + cpd11772 <=> cpd12039	rxn05757	1281967919	Polyphosphate polyphosphohydrolase	master	1	<=>		MI:O-1|HI:2		<=>	
