rxn_id	met_id	met_name	met_formula
EX_cpd00540_e0	cpd00540_e0	BET_e0	C5H11NO2
EX_cpd00166_e0	cpd00166_e0	Calomide_e0	C72H100CoN18O17P
EX_cpd00034_e0	cpd00034_e0	Zn2+_e0	Zn
EX_cpd00118_e0	cpd00118_e0	Putrescine_e0	C4H14N2
EX_cpd00268_e0	cpd00268_e0	H2S2O3_e0	HO3S2
EX_cpd00220_e0	cpd00220_e0	Riboflavin_e0	C17H19N4O6
EX_cpd10516_e0	cpd10516_e0	Fe+3_e0	Fe
EX_cpd00205_e0	cpd00205_e0	K+_e0	K
EX_cpd00254_e0	cpd00254_e0	Mg_e0	Mg
EX_cpd00099_e0	cpd00099_e0	Cl-_e0	Cl
EX_cpd00030_e0	cpd00030_e0	Mn2+_e0	Mn
EX_cpd00305_e0	cpd00305_e0	Thiamin_e0	C12H17N4OS
EX_cpd00063_e0	cpd00063_e0	Ca2+_e0	Ca
EX_cpd15560_e0	cpd15560_e0	Ubiquinone-8_e0	C49H74O4
EX_cpd00264_e0	cpd00264_e0	Spermidine_e0	C7H22N3
EX_cpd00058_e0	cpd00058_e0	Cu2+_e0	Cu
EX_cpd00028_e0	cpd00028_e0	Heme_e0	C34H30FeN4O4
EX_cpd00104_e0	cpd00104_e0	BIOT_e0	C10H15N2O3S
EX_cpd00092_e0	cpd00092_e0	Uracil_e0	C4H4N2O2
EX_cpd08305_e0	cpd08305_e0	crotonobetaine_e0	C8H16NO
EX_cpd00051_e0	cpd00051_e0	L-Arginine_e0	C6H15N4O2
EX_cpd00064_e0	cpd00064_e0	Ornithine_e0	C5H13N2O2
EX_cpd03724_e0	cpd03724_e0	Ferrichrome_e0	C27H42FeN9O12
EX_cpd10515_e0	cpd10515_e0	Fe+2_e0	Fe
EX_cpd01030_e0	cpd01030_e0	Salicin_e0	C13H18O7
EX_cpd00067_e0	cpd00067_e0	H+_e0	H
EX_cpd00149_e0	cpd00149_e0	Co2+_e0	Co
EX_cpd00011_e0	cpd00011_e0	CO2_e0	CO2
EX_cpd00023_e0	cpd00023_e0	L-Glutamate_e0	C5H8NO4
EX_cpd00281_e0	cpd00281_e0	GABA_e0	C4H9NO2
EX_cpd00179_e0	cpd00179_e0	Maltose_e0	C12H22O11
EX_cpd01012_e0	cpd01012_e0	Cd2+_e0	Cd
EX_cpd00138_e0	cpd00138_e0	D-Mannose_e0	C6H12O6
EX_cpd01171_e0	cpd01171_e0	Dulcose_e0	C6H14O6
EX_cpd01757_e0	cpd01757_e0	N-Acetylmuramate_e0	C11H18NO8
EX_cpd00053_e0	cpd00053_e0	L-Glutamine_e0	C5H10N2O3
EX_cpd00105_e0	cpd00105_e0	D-Ribose_e0	C5H10O5
